Sigla,Nome,Ano/Semestre,AU,TR,AU+TR,EXT,FREQ,NOTA
SCC0200,Informação Profissional e Tutoria Acadêmica em Ciências da Computação,2023/1,2,,2,,100,10.0
SCC0221,Introdução à Ciência de Computação I,2023/1,4,1,5,,100,9.2
SCC0222,Laboratório de Introdução à Ciência de Computação I,2023/1,2,2,4,,100,10.0
SMA0300,Geometria Analítica,2023/1,4,,4,,100,7.3
SMA0353,Cálculo I,2023/1,4,,4,,100,10.0
SSC0104,Evolução Histórica da Computação e Aplicações,2023/1,2,1,3,30,100,10.0
SSC0109,Prática em Lógica Digital,2023/1,2,1,3,,100,10.0
SSC0117,Introdução à Lógica Digital,2023/1,2,1,3,,87,6.2
SSC0180,Eletrônica para Computação,2023/1,2,2,4,10,100,10.0
7600105,Física Básica I,2023/2,4,,4,,100,8.9
SCC0201,Introdução à Ciência de Computação II,2023/2,4,2,6,,100,9.1
SCC0202,Algoritmos e Estruturas de Dados I,2023/2,4,2,6,,100,9.3
SCC0220,Laboratório de Introdução à Ciência da Computação II,2023/2,4,,4,,100,10.0
SMA0180,Matemática Discreta I,2023/2,4,,4,,100,8.3
SMA0354,Cálculo II,2023/2,4,,4,,100,6.9
SSC0108,Prática em Sistemas Digitais,2023/2,2,1,3,,90,9.4
SSC0118,Sistemas Digitais,2023/2,2,1,3,,93,7.2
7600109,Laboratório de Fisica Geral I,2024/1,2,,2,,100,8.6
SCC0215,Organização de Arquivos,2024/1,3,2,5,,100,9.3
SCC0216,Modelagem Computacional em Grafos,2024/1,2,1,3,,100,9.8
SMA0355,Cálculo III,2024/1,4,,4,,100,6.7
SSC0103,Programação Orientada a Objetos,2024/1,2,1,3,,100,9.8
SSC0902,Organização e Arquitetura de Computadores,2024/1,4,1,5,15,97,8.2
SSC0960,Programação Funcional,2024/1,2,1,3,,100,9.5
AEX0241,Atividades extensionistas,2024/1,,,0,50,,
SCC0218,Algoritmos Avançados e Aplicações,2024/2,2,2,4,5,100,10.0
SCC0911,Tópicos Avançados em Ciências de Computação II,2024/2,3,2,5,,100,9.6
SME0123,Estatística,2024/2,4,,4,,100,5.9
SME0142,Álgebra Linear e Aplicações,2024/2,4,1,5,,100,9.6
SSC0124,Análise e Projeto Orientados a Objetos,2024/2,2,1,3,15,100,9.3
SSC0140,Sistemas Operacionais I,2024/2,4,2,6,30,100,8.7
SSC0713,Sistemas Evolutivos e Aplicados à Robótica,2024/2,2,2,4,10,100,10.0
AEX0242,Atividades extensionistas,2024/2,,,0,40,,
SCC0219,Introdução ao Desenvolvimento Web,2025/1,4,1,5,10,93,9.7
SCC0240,Bases de Dados,2025/1,4,2,6,,100,9.5
SME0104,Cálculo Numérico,2025/1,4,,4,,100,10.0
SME0121,Processos Estocásticos,2025/1,4,,4,,80,7.5
SSC0130,Engenharia de Software,2025/1,4,1,5,15,100,9.9
SSC0142,Redes de Computadores,2025/1,4,2,6,30,80,7.7
AEX0251,Atividades extensionistas,2025/1,,,0,60,,
SCC0205,Teoria da Computação e Linguagens Formais,2025/2,4,2,6,10,MA,MA
SCC0207,Computadores e Sociedade I,2025/2,,2,2,,MA,MA
SCC0230,Inteligência Artificial,2025/2,4,1,5,10,MA,MA
SCC0252,Visualização Computacional,2025/2,3,1,4,,MA,MA
SCC0284,Sistemas de Recomendação,2025/2,4,1,5,10,MA,MA
SME0110,Programação Matemática,2025/2,4,2,6,,MA,MA
SSC0903,Computação de Alto Desempenho,2025/2,4,1,5,,MA,MA
