Sigla,Ano/Semestre,Nome,AU,TR,AU+TR,EXT,FREQ,NOTA
SCC0200,2023/1,Informação Profissional e Tutoria Acadêmica em Ciências da Computação,2,0,2,30.0,100,10.0
SCC0221,2023/1,Introdução à Ciência de Computação I,4,1,5,90.0,100,8.4
SCC0222,2023/1,Laboratório de Introdução à Ciência de Computação I,2,2,4,90.0,100,9.5
SMA0300,2023/1,Geometria Analítica,4,0,4,60.0,100,7.9
SMA0353,2023/1,Cálculo I,4,0,4,60.0,100,8.5
SSC0104,2023/1,Evolução Histórica da Computação e Aplicações,2,1,3,60.0,100,10.0
SSC0109,2023/1,Prática em Lógica Digital,2,1,3,,100,10.0
SSC0117,2023/1,Introdução à Lógica Digital,2,1,3,,86,8.3
SSC0180,2023/1,Eletrônica para Computação,2,2,4,10.0,100,10.0
7600105,2023/2,Física Básica I,4,0,4,,92,6.3
SCC0201,2023/2,Introdução à Ciência de Computação II,4,2,6,120.0,100,8.3
SCC0202,2023/2,Algoritmos e Estruturas de Dados I,4,2,6,120.0,97,9.4
SCC0220,2023/2,Laboratório de Introdução à Ciência da Computação II,4,0,4,60.0,100,9.6
SMA0180,2023/2,Matemática Discreta I,4,0,4,60.0,100,9.3
SMA0354,2023/2,Cálculo II,4,0,4,60.0,100,6.5
SSC0108,2023/2,Prática em Sistemas Digitais,2,1,3,,88,10.0
SSC0118,2023/2,Sistemas Digitais,2,1,3,,100,6.2
7600109,2024/1,Laboratório de Física Geral I,2,0,2,30.0,100,7.3
SCC0215,2024/1,Organização de Arquivos,3,2,5,105.0,100,9.1
SCC0216,2024/1,Modelagem Computacional em Grafos,2,1,3,60.0,100,9.4
SMA0355,2024/1,Cálculo III,4,0,4,60.0,100,6.0
SSC0103,2024/1,Programação Orientada a Objetos,2,1,3,60.0,100,9.3
SSC0902,2024/1,Organização e Arquitetura de Computadores,4,1,5,90.0,100,9.2
SSC0960,2024/1,Programação Funcional,2,1,3,60.0,100,9.4
SCC0218,2024/2,Algoritmos Avançados e Aplicações,2,2,4,90.0,100,9.3
SCC0284,2024/2,Sistemas de Recomendação,4,1,5,90.0,100,7.2
SME0123,2024/2,Estatística,4,0,4,60.0,100,6.6
SME0142,2024/2,Álgebra Linear e Aplicações,4,1,5,90.0,89,9.1
SSC0124,2024/2,Análise e Projeto Orientados a Objetos,2,1,3,60.0,100,9.1
SSC0140,2024/2,Sistemas Operacionais I,4,2,6,120.0,100,8.8
SSC0713,2024/2,Sistemas Evolutivos e Aplicados à Robótica,2,2,4,90.0,100,10.0
SSC0958,2024/2,Criptomoedas e Blockchain,4,2,6,120.0,82,9.1
AEX0242,2024/2,Atividades extensionistas,,80,80,,, 
SCC0219,2025/1,Introdução ao Desenvolvimento Web,4,1,5,90.0,97,9.6
SCC0240,2025/1,Bases de Dados,4,2,6,120.0,100,8.5
SCC0261,2025/1,Multimídia,2,0,2,30.0,87,9.3
SME0104,2025/1,Cálculo Numérico,4,0,4,60.0,90,7.0
SME0121,2025/1,Processos Estocásticos,4,0,4,60.0,100,8.2
SSC0130,2025/1,Engenharia de Software,4,1,5,90.0,100,9.4
SSC0142,2025/1,Redes de Computadores,4,2,6,120.0,80,7.8
AEX0251,2025/1,Atividades extensionistas,,90,90,,,
SCC0205,2025/2,Teoria da Computação e Linguagens Formais,4,2,6,,MA,
SCC0207,2025/2,Computadores e Sociedade I,2,,2,,MA,
SCC0230,2025/2,Inteligência Artificial,4,1,5,,MA,
SCC0252,2025/2,Visualização Computacional,3,1,4,,MA,
SCC0275,2025/2,Introdução à Ciência de Dados,4,1,5,,MA,
SME0110,2025/2,Programação Matemática,4,2,6,,MA,
SSC0903,2025/2,Computação de Alto Desempenho,4,1,5,,MA,
